pz_name,tileset,local_id,thumb_rel,full_rel,pack,page
advertising_01_0,advertising_01,0,thumbs/advertising_01_0.png,full/advertising_01_0.png,Tiles2x.pack,Tiles2x3
advertising_01_1,advertising_01,1,thumbs/advertising_01_1.png,full/advertising_01_1.png,Tiles2x.pack,Tiles2x3
advertising_01_10,advertising_01,10,thumbs/advertising_01_10.png,full/advertising_01_10.png,Tiles2x.pack,Tiles2x4
advertising_01_100,advertising_01,100,thumbs/advertising_01_100.png,full/advertising_01_100.png,Tiles2x.pack,Tiles2x5
advertising_01_101,advertising_01,101,thumbs/advertising_01_101.png,full/advertising_01_101.png,Tiles2x.pack,Tiles2x5
advertising_01_104,advertising_01,104,thumbs/advertising_01_104.png,full/advertising_01_104.png,Tiles2x.pack,Tiles2x5
advertising_01_105,advertising_01,105,thumbs/advertising_01_105.png,full/advertising_01_105.png,Tiles2x.pack,Tiles2x5
advertising_01_106,advertising_01,106,thumbs/advertising_01_106.png,full/advertising_01_106.png,Tiles2x.pack,Tiles2x5
advertising_01_107,advertising_01,107,thumbs/advertising_01_107.png,full/advertising_01_107.png,Tiles2x.pack,Tiles2x5
advertising_01_108,advertising_01,108,thumbs/advertising_01_108.png,full/advertising_01_108.png,Tiles2x.pack,Tiles2x5
advertising_01_109,advertising_01,109,thumbs/advertising_01_109.png,full/advertising_01_109.png,Tiles2x.pack,Tiles2x5
advertising_01_11,advertising_01,11,thumbs/advertising_01_11.png,full/advertising_01_11.png,Tiles2x.pack,Tiles2x4
advertising_01_112,advertising_01,112,thumbs/advertising_01_112.png,full/advertising_01_112.png,Tiles2x.pack,Tiles2x5
advertising_01_113,advertising_01,113,thumbs/advertising_01_113.png,full/advertising_01_113.png,Tiles2x.pack,Tiles2x5
advertising_01_114,advertising_01,114,thumbs/advertising_01_114.png,full/advertising_01_114.png,Tiles2x.pack,Tiles2x5
advertising_01_115,advertising_01,115,thumbs/advertising_01_115.png,full/advertising_01_115.png,Tiles2x.pack,Tiles2x5
advertising_01_116,advertising_01,116,thumbs/advertising_01_116.png,full/advertising_01_116.png,Tiles2x.pack,Tiles2x5
advertising_01_117,advertising_01,117,thumbs/advertising_01_117.png,full/advertising_01_117.png,Tiles2x.pack,Tiles2x5
advertising_01_12,advertising_01,12,thumbs/advertising_01_12.png,full/advertising_01_12.png,Tiles2x.pack,Tiles2x4
advertising_01_13,advertising_01,13,thumbs/advertising_01_13.png,full/advertising_01_13.png,Tiles2x.pack,Tiles2x4
advertising_01_14,advertising_01,14,thumbs/advertising_01_14.png,full/advertising_01_14.png,Tiles2x.pack,Tiles2x4
advertising_01_15,advertising_01,15,thumbs/advertising_01_15.png,full/advertising_01_15.png,Tiles2x.pack,Tiles2x4
advertising_01_16,advertising_01,16,thumbs/advertising_01_16.png,full/advertising_01_16.png,Tiles2x.pack,Tiles2x4
advertising_01_17,advertising_01,17,thumbs/advertising_01_17.png,full/advertising_01_17.png,Tiles2x.pack,Tiles2x4
advertising_01_18,advertising_01,18,thumbs/advertising_01_18.png,full/advertising_01_18.png,Tiles2x.pack,Tiles2x4
advertising_01_19,advertising_01,19,thumbs/advertising_01_19.png,full/advertising_01_19.png,Tiles2x.pack,Tiles2x4
advertising_01_2,advertising_01,2,thumbs/advertising_01_2.png,full/advertising_01_2.png,Tiles2x.pack,Tiles2x3
advertising_01_20,advertising_01,20,thumbs/advertising_01_20.png,full/advertising_01_20.png,Tiles2x.pack,Tiles2x4
advertising_01_21,advertising_01,21,thumbs/advertising_01_21.png,full/advertising_01_21.png,Tiles2x.pack,Tiles2x4
advertising_01_22,advertising_01,22,thumbs/advertising_01_22.png,full/advertising_01_22.png,Tiles2x.pack,Tiles2x4
advertising_01_23,advertising_01,23,thumbs/advertising_01_23.png,full/advertising_01_23.png,Tiles2x.pack,Tiles2x4
advertising_01_24,advertising_01,24,thumbs/advertising_01_24.png,full/advertising_01_24.png,Tiles2x.pack,Tiles2x4
advertising_01_25,advertising_01,25,thumbs/advertising_01_25.png,full/advertising_01_25.png,Tiles2x.pack,Tiles2x4
advertising_01_26,advertising_01,26,thumbs/advertising_01_26.png,full/advertising_01_26.png,Tiles2x.pack,Tiles2x4
advertising_01_27,advertising_01,27,thumbs/advertising_01_27.png,full/advertising_01_27.png,Tiles2x.pack,Tiles2x4
advertising_01_28,advertising_01,28,thumbs/advertising_01_28.png,full/advertising_01_28.png,Tiles2x.pack,Tiles2x4
advertising_01_29,advertising_01,29,thumbs/advertising_01_29.png,full/advertising_01_29.png,Tiles2x.pack,Tiles2x4
advertising_01_3,advertising_01,3,thumbs/advertising_01_3.png,full/advertising_01_3.png,Tiles2x.pack,Tiles2x3
advertising_01_30,advertising_01,30,thumbs/advertising_01_30.png,full/advertising_01_30.png,Tiles2x.pack,Tiles2x4
advertising_01_31,advertising_01,31,thumbs/advertising_01_31.png,full/advertising_01_31.png,Tiles2x.pack,Tiles2x4
advertising_01_32,advertising_01,32,thumbs/advertising_01_32.png,full/advertising_01_32.png,Tiles2x.pack,Tiles2x4
advertising_01_33,advertising_01,33,thumbs/advertising_01_33.png,full/advertising_01_33.png,Tiles2x.pack,Tiles2x4
advertising_01_34,advertising_01,34,thumbs/advertising_01_34.png,full/advertising_01_34.png,Tiles2x.pack,Tiles2x4
advertising_01_35,advertising_01,35,thumbs/advertising_01_35.png,full/advertising_01_35.png,Tiles2x.pack,Tiles2x4
